date,product,qty,unit_price
2026-07-01,Widget A,5,"₩12,000"
2026/07/01,Widget B,3,15000
01-07-2026,Widget C,2,"9,500"
2026-07-02, Widget A ,4,12000
2026-07-02,Widget D,,3000
2026-07-03,Widget E,0,5000
2026-07-03,Widget F,-2,5000
2026-07-03,Widget G,abc,5000
not-a-date,Widget H,1,1000
2026-07-04,Widget I,2,free
2026-07-01,Widget A,5,"₩12,000"
2026-07-05,Widget J,1,"₩1,000"
2026/07/06,Widget K,7,2000
07-07-2026,Widget L,2,"3,500"
2026-07-08,Widget M,3,4000
2026-07-09,Widget N,9,"₩8,800"
2026-07-10,Widget O,1,999
2026-07-11,Widget P,6,1500
2026-07-12,Widget Q,2,2500
2026-07-13,Widget R,8,700
2026-07-14,Widget S,4,3200
2026-07-15,Widget T,5,4100
2026-07-16,Widget U,3,5300
2026-07-16,Widget V,2,6000
